;Título;Subtítulo;Link
48;Musk fala em comprar o Manchester United, mas depois diz que era piada;Depois de post no Twitter obter quase 500.000 curtidas em poucas horas, bilionário esclareceu que não pretende comprar nenhum clube de futebol.;https://g1.globo.com/economia/negocios/noticia/2022/08/17/elon-musk-diz-que-mensagem-no-twitter-sobre-comprar-o-manchester-united-era-piada.ghtml
49;"Instagram libera no Reels figurinha que permite criar 'correntes'; veja como usar";Recurso serve para participar de 'trends' como a de quais personagens definem sua personalidade. Novidade chegará ao Facebook até a próxima semana.;https://g1.globo.com/tecnologia/noticia/2022/08/16/instagram-libera-no-reels-figurinha-que-permite-criar-correntes-veja-como-usar.ghtml
50;TikTok é a principal rede social utilizada por crianças e adolescentes no Brasil, diz pesquisa;Plataforma está à frente de Instagram e Facebook na faixa entre 9 e 17 anos, segundo o TIC Kids Online Brasil.;https://g1.globo.com/tecnologia/noticia/2022/08/16/tiktok-e-a-principal-rede-social-utilizada-por-criancas-e-adolescentes-no-brasil-diz-pesquisa.ghtml
51;Juiz manda Twitter entregar a Elon Musk documentos de ex-executivo;"Segundo Musk, o ex-diretor do Twitter, Kayvon Beykpour, estava ""intimamente envolvido"" na manipulação de números de contas falsas e de spam. ";https://g1.globo.com/tecnologia/noticia/2022/08/16/juiz-manda-twitter-entregar-a-elon-musk-documentos-de-ex-executivo.ghtml
52;5g em Salvador: veja em quais bairros da capital baiana a tecnologia estará disponível a partir desta terça-feira;Tim vai disponibilizar a rede em 77 bairros, Vivo em 16 e Claro em 15;https://g1.globo.com/ba/bahia/noticia/2022/08/16/5g-em-salvador-veja-em-quais-bairros-da-capital-baiana-a-tecnologia-estara-disponivel-a-partir-desta-terca-feira.ghtml
53;5G é liberado em Curitiba: veja quais celulares podem receber o sinal e tire dúvidas sobre a tecnologia;Agência Nacional de Telecomunicações (Anatel) tem modelos 5G homologados para receber o sinal. Sinal 4G não irá acabar e funcionará simultaneamente.;https://g1.globo.com/pr/parana/noticia/2022/08/16/5g-e-liberado-em-curitiba-veja-quais-celulares-podem-receber-o-sinal-e-tire-duvidas-sobre-a-tecnologia.ghtml
54;PF faz operação contra hackers suspeitos de ataque que tirou ConecteSUS do ar;"Agentes cumprem oito mandados de busca e apreensão, em quatro estados; ordens são da Justiça Federal no DF. Segundo corporação, ataques foram cometidos por 'uma organização criminosa transnacional dedicada à prática de crimes dessa natureza'.";https://g1.globo.com/df/distrito-federal/noticia/2022/08/16/pf-faz-operacao-contra-hackers-suspeitos-de-invadir-sistemas-do-ministerio-da-saude-e-do-governo-federal.ghtml
55;"Android 13 é lançado oficialmente; confira as principais novidades";Sistema operacional do Google ganhou novos recursos de privacidade e ajustes pontuais no design. ;https://g1.globo.com/tecnologia/noticia/2022/08/16/android-13-e-lancado-oficialmente-confira-as-principais-novidades.ghtml
56;Dona do Facebook processa empresas brasileiras por venda de seguidores no Instagram;É a primeira vez que a Meta entra com ação judicial contra companhias brasileiras por venda de curtidas, comentários e visualizações na plataforma.;https://g1.globo.com/tecnologia/noticia/2022/08/15/dona-do-facebook-processa-empresas-brasileiras-por-venda-de-seguidores-no-instagram.ghtml
57;ONG internacional aponta que Facebook não impediu anúncios com desinformação eleitoral no Brasil;A Global Witness criou dez publicações falsas para testar medidas de segurança e integridade dos sistemas de moderação. Segundo o relatório, todos conteúdos foram aprovados pela plataforma. ;https://g1.globo.com/tecnologia/noticia/2022/08/15/ong-internacional-aponta-que-facebook-nao-impediu-anuncios-com-desinformacao-eleitoral-no-brasil.ghtml
